Day fraction since midnight on 	photom conc (mg/L)	photom (volts)	Source pressure (Pa)
0.611074159	-1.00292623	3.517922401	104142.75
0.611097305	-1.004307985	3.518665791	104142.75
0.611120453	-1.013443232	3.523583174	104142.75
0.611143602	-1.011109471	3.522326469	104142.75
0.611166753	-0.984701395	3.508128643	104142.75
0.611189902	-0.806290805	3.4132967	104142.75
0.611213043	-0.945613384	3.487190247	104142.75
0.611236204	-0.986394227	3.509037495	104142.75
0.611259372	-0.954482377	3.491933107	104142.75
0.611282536	-0.931577623	3.47969389	104142.75
0.611305567	-0.864356041	3.443953753	104142.75
0.611328717	-0.821265638	3.421184063	104142.75
0.611351934	-0.876709878	3.450501919	104142.75
0.611375086	-0.85607779	3.439570904	104142.75
0.611398271	-0.623542488	3.318094969	104142.75
0.611421423	-0.530094922	3.270158291	104142.75
0.61144457	-0.368979216	3.188673019	104142.75
0.611467641	-0.216228649	3.112758398	104142.75
0.611490778	-0.39099136	3.199719667	104142.75
0.611513984	-0.460252702	3.23465538	104142.75
0.611537127	-0.424178809	3.216425896	104142.75
0.611560271	-0.289927691	3.149224281	104142.75
0.611583418	-0.274729013	3.141679525	104142.75
0.611606571	-0.136400625	3.073596478	104142.75
0.611629643	0.062544651	2.977501392	104142.75
0.6116528	0.257593453	2.885334969	104142.75
0.611675948	0.153394744	2.934322596	104142.75
0.611699092	0.047549412	2.984670401	104142.75
0.611722239	0.178992763	2.922235251	104142.75
0.61174546	0.201226682	2.911764383	104142.75
0.611768599	0.110006213	2.954889536	104142.75
0.611791751	0.063627288	2.976984263	104142.75
0.611814849	0.129884839	2.945454359	104142.75
0.611838004	0.24080652	2.893188715	104142.75
0.611861132	0.280438542	2.874670506	104142.75
0.611884391	0.435782731	2.802869082	104142.75
0.611907529	0.465139657	2.789439201	104142.75
0.611930676	0.493275344	2.776609182	104142.75
0.611953845	0.546959758	2.752240181	104142.75
0.611976871	0.603527069	2.726719856	104142.75
0.612000018	0.614196122	2.721924543	104142.75
0.612023274	0.573697567	2.740157366	104142.75
0.612046416	0.607647717	2.724867106	104142.75
0.612069563	0.625273705	2.716951609	104142.75
0.612092712	0.631056964	2.714357853	104142.75
0.612115856	0.773234665	2.651114941	104142.75
0.612139017	0.817341507	2.63169837	104142.75
0.612162053	0.910626888	2.590945721	104142.75
0.612185313	0.902511239	2.594474316	104142.75
0.612208454	0.918434143	2.587554216	104142.75
0.612231592	0.917874634	2.587797165	104142.75
0.612254643	0.925552487	2.58446455	104142.75
0.612277857	0.935863495	2.579993486	104142.75
0.612300986	0.974466741	2.563299894	104142.75
0.612324154	1.012560964	2.546896696	104142.75
0.612347308	1.030015349	2.539404154	104142.75
0.612370459	1.024304152	2.541854143	104142.75
0.612393613	0.973145187	2.563870192	104142.75
0.612416755	0.942266226	2.577219725	104142.75
0.612439937	1.011674285	2.547277689	104142.75
0.612463085	1.028892398	2.539885759	104142.75
0.612486239	1.010925889	2.547599316	104142.75
0.612509278	1.046026588	2.532543898	104142.75
0.612532528	1.045876265	2.532608271	104142.75
0.612555648	1.051348209	2.530266523	104142.75
0.612578792	1.048368931	2.531541348	104142.75
0.612601947	1.059884191	2.526616335	104142.75
0.612625089	1.109688759	2.505387783	104142.75
0.612648236	1.158346176	2.484761715	104142.75
