Day fraction since midnight on 	photom conc (mg/L)	photom (volts)	Source pressure (Pa)
0.63197701	1.315407276	4.465549469	104142.75
0.632000205	1.312332392	4.476071835	104142.75
0.632023351	1.323556304	4.437722683	104142.75
0.632046499	1.333417416	4.404164314	104142.75
0.632069625	1.338032007	4.388503552	104142.75
0.632092768	1.348055601	4.354579926	104142.75
0.632115925	1.348571181	4.352838516	104142.75
0.632139061	1.341478705	4.376824379	104142.75
0.632162213	1.335257173	4.397917271	104142.75
0.632185385	1.340715408	4.379409313	104142.75
0.632208535	1.329437852	4.417692184	104142.75
0.63223172	1.341212392	4.377726078	104142.75
0.632254862	1.338648558	4.386413097	104142.75
0.632278001	1.344458818	4.366737843	104142.75
0.632301155	1.349169731	4.350817204	104142.75
0.632324296	1.36900115	4.284103394	104142.75
0.632347418	1.372045755	4.273905277	104142.75
0.632370563	1.363331199	4.303126812	104142.75
0.632393715	1.360351086	4.313141823	104142.75
0.632416878	1.359242916	4.316868782	104142.75
0.632440019	1.366096854	4.293842793	104142.75
0.632463109	1.347110748	4.35777235	104142.75
0.632486255	1.371672988	4.27515316	104142.75
0.632509417	1.367927194	4.287703514	104142.75
0.632532612	1.395576596	4.195473671	104142.75
0.632555774	1.385842681	4.227834702	104142.75
0.632578936	1.39190042	4.207681656	104142.75
0.632602073	1.391679168	4.208416939	104142.75
0.632625235	1.389891267	4.214360714	104142.75
0.632648339	1.40558672	4.162315369	104142.75
0.632671489	1.40566349	4.162061214	104142.75
0.632694648	1.389053702	4.217146397	104142.75
0.632717786	1.394120216	4.200307846	104142.75
0.632740948	1.380906582	4.244290352	104142.75
0.632764081	1.38678205	4.22470665	104142.75
0.632787237	1.38974452	4.214848995	104142.75
0.632810409	1.393829823	4.201272488	104142.75
0.632833541	1.398087263	4.187145233	104142.75
0.6328567	1.410447598	4.146257877	104142.75
0.632879875	1.414283991	4.133605003	104142.75
0.632903021	1.410622001	4.145682335	104142.75
0.632926077	1.417527556	4.12292099	104142.75
0.63294924	1.421052575	4.111324787	104142.75
0.632972387	1.427941918	4.088703632	104142.75
0.632995543	1.441886544	4.04309082	104142.75
0.6330187	1.44304049	4.039326191	104142.75
0.633041896	1.431794763	4.076077938	104142.75
