Day fraction since midnight on 	photom conc (mg/L)	photom (volts)	Source pressure (Pa)
0.630264097	4.911347866	1.1882447	104142.75
0.630287239	4.888023377	1.194742441	104142.75
0.630310378	4.854170322	1.204203248	104142.75
0.630333472	4.882300854	1.19633913	104142.75
0.630356625	4.86763382	1.200436354	104142.75
0.630379821	4.867712498	1.200414419	104142.75
0.630402969	4.85915041	1.202809215	104142.75
0.630426137	4.876497746	1.197959423	104142.75
0.630449268	4.866965771	1.200623155	104142.75
0.63047242	4.863911152	1.201477408	104142.75
0.630495579	4.865017891	1.201167822	104142.75
0.630518715	4.828390598	1.211431861	104142.75
0.630541865	4.846929073	1.206231594	104142.75
0.630565025	4.847434998	1.206089854	104142.75
0.630588184	4.869508743	1.19991231	104142.75
0.630611317	4.832409382	1.210303664	104142.75
0.630634476	4.838010788	1.208732009	104142.75
0.630657615	4.805830479	1.217774749	104142.75
0.630680712	4.789676189	1.222326517	104142.75
0.630703869	4.813959122	1.215487599	104142.75
0.630726997	4.759829521	1.230757713	104142.75
0.630750127	4.779381275	1.225231528	104142.75
0.630773273	4.725250244	1.240561128	104142.75
0.630796416	4.823972225	1.212672949	104142.75
0.630819567	4.823786259	1.212725163	104142.75
0.630842826	4.776804447	1.225959182	104142.75
0.630865967	4.795599461	1.220656514	104142.75
0.630889125	4.834954739	1.209589362	104142.75
0.630912267	4.818877697	1.214104533	104142.75
0.630935405	4.796032429	1.220534563	104142.75
0.630958565	4.816540241	1.214761734	104142.75
0.630981702	4.817465782	1.2145015	104142.75
0.631004859	4.841454029	1.207766295	104142.75
0.631027997	4.791917324	1.221694589	104142.75
0.631051145	4.785504818	1.223503113	104142.75
0.631074184	4.758917332	1.231015921	104142.75
0.631097448	4.72200346	1.24148345	104142.75
0.631120597	4.675458908	1.254743576	104142.75
0.631143713	4.652094841	1.261425853	104142.75
0.631166871	4.711317539	1.244521737	104142.75
0.631190051	4.719192028	1.24228251	104142.75
0.631213184	4.678776264	1.25379622	104142.75
0.631236343	4.711083889	1.244588256	104142.75
0.631259492	4.668380737	1.2567662	104142.75
0.631282633	4.589282036	1.279477	104142.75
0.631305711	4.552330494	1.290155411	104142.75
0.631328856	4.572331429	1.284369946	104142.75
0.631351996	4.584909439	1.280738354	104142.75
0.631375204	4.575258255	1.283524513	104142.75
0.631398352	4.557378769	1.288693905	104142.75
0.631421505	4.561200619	1.28758812	104142.75
0.631444645	4.577057838	1.283004761	104142.75
0.631467805	4.575039387	1.283587694	104142.75
0.631490915	4.550909996	1.290566802	104142.75
0.631514064	4.550224304	1.290765405	104142.75
0.63153718	4.573919773	1.283911109	104142.75
0.631560435	4.509766102	1.302510381	104142.75
0.631583483	4.514989376	1.300991058	104142.75
0.631606722	4.539390564	1.293905258	104142.75
0.631629874	4.575387478	1.283487201	104142.75
0.631652965	4.581953526	1.281591296	104142.75
0.631676119	4.579417229	1.28232348	104142.75
0.631699264	4.593468189	1.278270125	104142.75
0.631722394	4.527140141	1.297460198	104142.75
0.631745539	4.522941589	1.298679709	104142.75
0.631768728	4.513497353	1.30142498	104142.75
0.631791891	4.532263279	1.295972943	104142.75
0.631815033	4.502073765	1.304749489	104142.75
0.631838198	4.482806683	1.310366154	104142.75
0.631861357	4.498483658	1.305795193	104142.75
0.631884502	4.450670242	1.319761515	104142.75
0.631907648	4.508858681	1.302774429	104142.75
0.631930789	4.439404488	1.323063016	104142.75
0.631953857	4.483206749	1.310249448	104142.75
0.63197701	4.465549469	1.315407276	104142.75
0.632000205	4.476071835	1.312332392	104142.75
