Day fraction since midnight on ,photom conc (mg/L),photom (volts),Source pressure (Pa)
0.591120318,-0.234865606,3.12195158,104142.75
0.591166596,-0.051919326,3.032529593,104142.75
0.591189759,0.079071969,2.969613791,104142.75
0.591213006,0.137509614,2.941840887,104142.75
0.591236142,0.078037463,2.970107079,104142.75
0.591259252,0.061795015,2.977859497,104142.75
0.591282397,0.237853035,2.89457202,104142.75
0.591305541,0.433380753,2.80396986,104142.75
0.591328699,0.514321923,2.767038107,104142.75
0.591351849,0.449726611,2.796484709,104142.75
0.591375031,0.409023255,2.815149069,104142.75
0.59139818,0.458485305,2.792479515,104142.75
0.59142132,0.487632573,2.779179096,104142.75
0.591444459,0.576152742,2.739049673,104142.75
0.591467618,0.922686696,2.585708141,104142.75
0.591490689,0.992342591,2.555593967,104142.75
0.591513826,0.945132256,2.575978756,104142.75
0.591536967,0.919705868,2.587002039,104142.75
0.591560228,0.961009145,2.569111347,104142.75
0.59158336,0.878759265,2.604819775,104142.75
0.59160649,0.773149312,2.651152611,104142.75
0.591629649,0.737766326,2.666798115,104142.75
0.591652789,0.805643082,2.636838913,104142.75
0.591675854,0.893798888,2.598265886,104142.75
0.591699105,1.018059254,2.544534922,104142.75
0.591722268,1.07777071,2.518978834,104142.75
0.591745412,1.040881395,2.534747124,104142.75
0.591768559,0.998644471,2.552881002,104142.75
0.591791671,1.051388264,2.530249357,104142.75
0.591814821,1.101902247,2.50869894,104142.75
0.591837909,1.10117197,2.5090096,104142.75
0.591861052,1.106413126,2.506780386,104142.75
0.591884203,1.125655294,2.498607159,104142.75
0.59190736,1.155902386,2.485795021,104142.75
0.591930484,1.213198423,2.461643457,104142.75
0.59195364,1.336308241,2.410268784,104142.75
0.591976785,1.394078493,2.386402845,104142.75
0.591999929,1.391264558,2.387561798,104142.75
0.592023187,1.353754044,2.403045416,104142.75
0.592046334,1.342440963,2.407727957,104142.75
0.592069414,1.340476513,2.408541679,104142.75
0.592092566,1.334298015,2.411102057,104142.75
0.592115714,1.298658729,2.425905466,104142.75
0.592138901,1.304527164,2.423463821,104142.75
0.592162052,1.349772692,2.40469265,104142.75
0.592185188,1.357436776,2.401522398,104142.75
0.59220834,1.360676765,2.400182962,104142.75
0.592231493,1.371786475,2.395593882,104142.75
0.592254686,1.364753604,2.398498297,104142.75
0.592277712,1.351983547,2.403777838,104142.75
0.592300866,1.345528722,2.406449318,104142.75
0.592324014,1.334791422,2.410897493,104142.75
0.592347285,1.326385856,2.414383411,104142.75
0.592370334,1.325515389,2.414744616,104142.75
0.592393464,1.34739244,2.405677795,104142.75
0.592416664,1.297672868,2.426315785,104142.75
0.592439822,1.290139794,2.429452658,104142.75
0.59246296,1.2840873,2.431974888,104142.75
0.59248615,1.279260516,2.433987618,104142.75
0.59250929,1.249773502,2.446306706,104142.75
0.592532448,1.236845732,2.451720476,104142.75
0.592555594,1.235486627,2.452290058,104142.75
0.592578616,1.219826579,2.458859444,104142.75
0.592601824,1.208176374,2.463754177,104142.75
0.592624964,1.199437618,2.467429876,104142.75
0.59264818,1.180493355,2.475410461,104142.75
0.592671318,1.167384386,2.480942726,104142.75
0.592694485,1.175542235,2.477499008,104142.75
0.592717569,1.162693143,2.482924461,104142.75
0.592740703,1.125531673,2.498659611,104142.75
0.592763887,1.087768674,2.514716387,104142.75
0.592787046,1.055248857,2.52859807,104142.75
0.592810176,0.996291339,2.553893805,104142.75
0.592833279,0.959609568,2.569716215,104142.75
0.592856445,0.976750016,2.562314749,104142.75
0.592879581,0.976358235,2.562483788,104142.75
0.592902723,0.941029787,2.577755213,104142.75
0.592925872,0.890556753,2.599677801,104142.75
0.592949088,0.871721625,2.607890368,104142.75
0.592972231,0.868188202,2.609432936,104142.75
0.592995403,0.817831755,2.631483078,104142.75
0.59301855,0.755411267,2.658988237,104142.75
0.593041692,0.757098019,2.658242464,104142.75
0.593064843,0.820355237,2.630375147,104142.75
0.593087987,0.861023545,2.612562656,104142.75
0.593111048,0.823260248,2.629100084,104142.75
0.593134303,0.799658418,2.639471293,104142.75
0.59315745,0.806880474,2.636294842,104142.75
0.593180581,0.806302428,2.636548996,104142.75
0.593203719,0.746984959,2.662715912,104142.75
0.593226863,0.712366402,2.678067446,104142.75
0.593250013,0.703190267,2.682146549,104142.75
0.593273157,0.667770326,2.697931051,104142.75
0.593296294,0.595867217,2.730166197,104142.75
0.593319447,0.564365983,2.744370222,104142.75
0.593342549,0.566280603,2.743505478,104142.75
0.593365695,0.523719311,2.762771845,104142.75
0.593388841,0.530262947,2.759803772,104142.75
0.593412013,0.470206797,2.787125588,104142.75
0.593435165,0.437978238,2.801863194,104142.75
0.59345827,0.427688181,2.806579828,104142.75
0.59348153,0.46795693,2.788152695,104142.75
0.593504679,0.470335305,2.787066937,104142.75
0.593527785,0.424290568,2.808138371,104142.75
0.593550937,0.381542176,2.827798367,104142.75
0.593574109,0.367645472,2.834209681,104142.75
0.593597249,0.322922975,2.854910135,104142.75
0.593620406,0.27791062,2.875849247,104142.75
